model,regime,JSON validity,Schema validity,Operation F1,Exact match,Action acc.,Product acc.,Quantity acc.,Mean latency (s),P95 latency (s),Throughput (cmd/s),GPU power (W),Energy/command (J),VRAM (GB),Prompt tokens,Output tokens
Gemma4 31B,minimal,1.0000,1.0000,0.9505,0.8330,0.9690,0.9954,0.9842,16.3341,37.2388,0.0604,156.4466,2555.4178,45.8024,145.5232,600.4454
Gemma4 31B,extended,1.0000,1.0000,0.9668,0.8850,0.9777,0.9999,0.9889,16.2705,36.6164,0.0606,156.4161,2544.9711,45.7440,196.5232,598.9604
Gemma4 31B,few_shot,1.0000,1.0000,0.9811,0.9326,0.9811,1.0000,1.0000,11.7059,19.8739,0.0838,155.5099,1820.3900,45.7440,435.5232,425.7840
GPT-OSS 20B,minimal,1.0000,1.0000,0.9232,0.7530,0.9680,0.9908,0.9576,2.5439,3.9028,0.3599,123.6874,314.6513,16.2540,196.4684,345.2134
GPT-OSS 20B,extended,0.9994,0.9994,0.9439,0.8188,0.9805,0.9943,0.9667,2.5225,3.9490,0.3630,123.9707,312.7193,16.2540,248.4684,341.2866
GPT-OSS 20B,few_shot,1.0000,1.0000,0.9747,0.9148,0.9953,0.9992,0.9799,2.5074,3.8899,0.3650,125.7813,315.3811,16.2540,455.4684,339.1328
Llama3.1 8B,minimal,0.9350,0.8814,0.7824,0.5384,0.8558,0.8080,0.8525,0.7144,0.9755,1.0584,140.6852,100.5008,21.7632,138.4170,79.0572
Llama3.1 8B,extended,0.9976,0.9756,0.8012,0.5684,0.9292,0.8600,0.9490,0.6636,0.9263,1.1153,141.2112,93.7109,21.7640,191.4170,72.0184
Llama3.1 8B,few_shot,0.9966,0.9948,0.9503,0.8410,0.9767,0.9662,0.9876,0.5626,0.7067,1.2565,139.8052,78.6508,21.7660,402.4170,56.9780
Mistral 7B,minimal,0.9632,0.8772,0.6890,0.3570,0.8421,0.7624,0.8546,0.5935,0.8438,1.2382,145.9324,86.6048,10.1569,147.8188,88.0090
Mistral 7B,extended,0.9822,0.8648,0.5039,0.2812,0.8714,0.5588,0.8875,0.5564,0.7754,1.2973,146.9304,81.7570,8.9120,199.8188,81.6870
Mistral 7B,few_shot,0.9932,0.9760,0.9423,0.8044,0.9500,0.9632,0.9725,0.4886,0.6446,1.4158,143.1306,69.9407,8.9120,466.8188,69.8906
Granite4 3B,minimal,1.0000,0.9284,0.7973,0.5124,0.9304,0.8708,0.9300,0.6115,0.8160,1.2105,118.5745,72.5091,15.1212,136.4170,98.1908
Granite4 3B,extended,1.0000,0.9312,0.7899,0.5158,0.9208,0.8594,0.9460,0.5219,0.8055,1.3549,118.2362,61.7028,13.6000,189.4170,80.8574
Granite4 3B,few_shot,0.9998,0.9968,0.9371,0.8072,0.9842,0.9584,0.9870,0.3936,0.5053,1.6383,117.7289,46.3395,13.6000,400.4170,56.2010
Llama3.2 3B,minimal,0.9674,0.6056,0.6105,0.3108,0.7582,0.6999,0.7486,0.5306,0.7631,1.3416,122.9337,65.2273,17.2193,148.4170,90.2396
Llama3.2 3B,extended,0.9704,0.6374,0.5260,0.2292,0.6805,0.5814,0.7536,0.4895,0.6273,1.4205,124.3973,60.8884,17.2231,201.4170,80.3904
Llama3.2 3B,few_shot,0.8898,0.8216,0.8133,0.5658,0.7961,0.8098,0.8264,0.3861,0.4784,1.6674,122.4766,47.2821,17.2240,412.4170,55.5970
